Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
Extremadura;Unidentified (suspected) COVID-19 virus;January;Men;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Men;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Women;Total;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Women;Hospital centre;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Women;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Women;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Total;Total;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Total;Hospital centre;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Total;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Total;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Men;Total;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Men;Hospital centre;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Men;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Men;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Women;Total;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Women;Hospital centre;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Women;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Women;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;February;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;March;Total;Total;49
Extremadura;Unidentified (suspected) COVID-19 virus;March;Total;Hospital centre;25
Extremadura;Unidentified (suspected) COVID-19 virus;March;Total;Home;8
Extremadura;Unidentified (suspected) COVID-19 virus;March;Total;Health care home;15
Extremadura;Unidentified (suspected) COVID-19 virus;March;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;March;Total;Not specified;1
Extremadura;Unidentified (suspected) COVID-19 virus;March;Men;Total;26
Extremadura;Unidentified (suspected) COVID-19 virus;March;Men;Hospital centre;14
Extremadura;Unidentified (suspected) COVID-19 virus;March;Men;Home;5
Extremadura;Unidentified (suspected) COVID-19 virus;March;Men;Health care home;7
Extremadura;Unidentified (suspected) COVID-19 virus;March;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;March;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;March;Women;Total;23
Extremadura;Unidentified (suspected) COVID-19 virus;March;Women;Hospital centre;11
Extremadura;Unidentified (suspected) COVID-19 virus;March;Women;Home;3
Extremadura;Unidentified (suspected) COVID-19 virus;March;Women;Health care home;8
Extremadura;Unidentified (suspected) COVID-19 virus;March;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;March;Women;Not specified;1
Extremadura;Unidentified (suspected) COVID-19 virus;April;Total;Total;172
Extremadura;Unidentified (suspected) COVID-19 virus;April;Total;Hospital centre;60
Extremadura;Unidentified (suspected) COVID-19 virus;April;Total;Home;13
Extremadura;Unidentified (suspected) COVID-19 virus;April;Total;Health care home;97
Extremadura;Unidentified (suspected) COVID-19 virus;April;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;April;Total;Not specified;2
Extremadura;Unidentified (suspected) COVID-19 virus;April;Men;Total;73
Extremadura;Unidentified (suspected) COVID-19 virus;April;Men;Hospital centre;29
Extremadura;Unidentified (suspected) COVID-19 virus;April;Men;Home;6
Extremadura;Unidentified (suspected) COVID-19 virus;April;Men;Health care home;37
Extremadura;Unidentified (suspected) COVID-19 virus;April;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;April;Men;Not specified;1
Extremadura;Unidentified (suspected) COVID-19 virus;April;Women;Total;99
Extremadura;Unidentified (suspected) COVID-19 virus;April;Women;Hospital centre;31
Extremadura;Unidentified (suspected) COVID-19 virus;April;Women;Home;7
Extremadura;Unidentified (suspected) COVID-19 virus;April;Women;Health care home;60
Extremadura;Unidentified (suspected) COVID-19 virus;April;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;April;Women;Not specified;1
Extremadura;Unidentified (suspected) COVID-19 virus;May;Total;Total;29
Extremadura;Unidentified (suspected) COVID-19 virus;May;Total;Hospital centre;22
Extremadura;Unidentified (suspected) COVID-19 virus;May;Total;Home;4
Extremadura;Unidentified (suspected) COVID-19 virus;May;Total;Health care home;3
Extremadura;Unidentified (suspected) COVID-19 virus;May;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;May;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;May;Men;Total;13
Extremadura;Unidentified (suspected) COVID-19 virus;May;Men;Hospital centre;9
Extremadura;Unidentified (suspected) COVID-19 virus;May;Men;Home;3
Extremadura;Unidentified (suspected) COVID-19 virus;May;Men;Health care home;1
Extremadura;Unidentified (suspected) COVID-19 virus;May;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;May;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;May;Women;Total;16
Extremadura;Unidentified (suspected) COVID-19 virus;May;Women;Hospital centre;13
Extremadura;Unidentified (suspected) COVID-19 virus;May;Women;Home;1
Extremadura;Unidentified (suspected) COVID-19 virus;May;Women;Health care home;2
Extremadura;Unidentified (suspected) COVID-19 virus;May;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;May;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Total;Total;3
Extremadura;Unidentified (suspected) COVID-19 virus;June;Total;Hospital centre;2
Extremadura;Unidentified (suspected) COVID-19 virus;June;Total;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Total;Health care home;1
Extremadura;Unidentified (suspected) COVID-19 virus;June;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Men;Total;1
Extremadura;Unidentified (suspected) COVID-19 virus;June;Men;Hospital centre;1
Extremadura;Unidentified (suspected) COVID-19 virus;June;Men;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Men;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Women;Total;2
Extremadura;Unidentified (suspected) COVID-19 virus;June;Women;Hospital centre;1
Extremadura;Unidentified (suspected) COVID-19 virus;June;Women;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Women;Health care home;1
Extremadura;Unidentified (suspected) COVID-19 virus;June;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;June;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Total;Total;7
Extremadura;Unidentified (suspected) COVID-19 virus;July;Total;Hospital centre;7
Extremadura;Unidentified (suspected) COVID-19 virus;July;Total;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Total;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Men;Total;1
Extremadura;Unidentified (suspected) COVID-19 virus;July;Men;Hospital centre;1
Extremadura;Unidentified (suspected) COVID-19 virus;July;Men;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Men;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Women;Total;6
Extremadura;Unidentified (suspected) COVID-19 virus;July;Women;Hospital centre;6
Extremadura;Unidentified (suspected) COVID-19 virus;July;Women;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Women;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;July;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Total;Total;3
Extremadura;Unidentified (suspected) COVID-19 virus;August;Total;Hospital centre;1
Extremadura;Unidentified (suspected) COVID-19 virus;August;Total;Home;1
Extremadura;Unidentified (suspected) COVID-19 virus;August;Total;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Total;Other place;1
Extremadura;Unidentified (suspected) COVID-19 virus;August;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Men;Total;2
Extremadura;Unidentified (suspected) COVID-19 virus;August;Men;Hospital centre;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Men;Home;1
Extremadura;Unidentified (suspected) COVID-19 virus;August;Men;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Men;Other place;1
Extremadura;Unidentified (suspected) COVID-19 virus;August;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Women;Total;1
Extremadura;Unidentified (suspected) COVID-19 virus;August;Women;Hospital centre;1
Extremadura;Unidentified (suspected) COVID-19 virus;August;Women;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Women;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;August;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;September;Total;Total;11
Extremadura;Unidentified (suspected) COVID-19 virus;September;Total;Hospital centre;7
Extremadura;Unidentified (suspected) COVID-19 virus;September;Total;Home;2
Extremadura;Unidentified (suspected) COVID-19 virus;September;Total;Health care home;1
Extremadura;Unidentified (suspected) COVID-19 virus;September;Total;Other place;1
Extremadura;Unidentified (suspected) COVID-19 virus;September;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;September;Men;Total;5
Extremadura;Unidentified (suspected) COVID-19 virus;September;Men;Hospital centre;4
Extremadura;Unidentified (suspected) COVID-19 virus;September;Men;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;September;Men;Health care home;1
Extremadura;Unidentified (suspected) COVID-19 virus;September;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;September;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;September;Women;Total;6
Extremadura;Unidentified (suspected) COVID-19 virus;September;Women;Hospital centre;3
Extremadura;Unidentified (suspected) COVID-19 virus;September;Women;Home;2
Extremadura;Unidentified (suspected) COVID-19 virus;September;Women;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;September;Women;Other place;1
Extremadura;Unidentified (suspected) COVID-19 virus;September;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Total;Total;8
Extremadura;Unidentified (suspected) COVID-19 virus;October;Total;Hospital centre;6
Extremadura;Unidentified (suspected) COVID-19 virus;October;Total;Home;2
Extremadura;Unidentified (suspected) COVID-19 virus;October;Total;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Men;Total;4
Extremadura;Unidentified (suspected) COVID-19 virus;October;Men;Hospital centre;3
Extremadura;Unidentified (suspected) COVID-19 virus;October;Men;Home;1
Extremadura;Unidentified (suspected) COVID-19 virus;October;Men;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Men;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Men;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Women;Total;4
Extremadura;Unidentified (suspected) COVID-19 virus;October;Women;Hospital centre;3
Extremadura;Unidentified (suspected) COVID-19 virus;October;Women;Home;1
Extremadura;Unidentified (suspected) COVID-19 virus;October;Women;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Women;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;October;Women;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;November;Total;Total;4
Extremadura;Unidentified (suspected) COVID-19 virus;November;Total;Hospital centre;4
